"","Indice","UF","Mes"
"130",93.7917403067508,"Pará","201301"
"131",93.7266624832625,"Pará","201302"
"132",94.57158088997,"Pará","201303"
"133",97.9620061886799,"Pará","201304"
"134",97.0724407632517,"Pará","201305"
"135",96.6370216083189,"Pará","201306"
"136",97.0716017160777,"Pará","201307"
"137",96.7630856256016,"Pará","201308"
"138",95.4545657018976,"Pará","201309"
"139",101.305884773593,"Pará","201310"
"140",100.987224193077,"Pará","201311"
"141",99.8561873836565,"Pará","201312"
"142",97.1917403067508,"Pará","201401"
"143",90.2266624832625,"Pará","201402"
"144",92.47158088997,"Pará","201403"
"145",98.9620061886799,"Pará","201404"
"146",101.172440763252,"Pará","201405"
"147",95.8370216083189,"Pará","201406"
"148",98.6716017160777,"Pará","201407"
"149",95.0630856256016,"Pará","201408"
"150",96.8545657018976,"Pará","201409"
"151",97.4058847735928,"Pará","201410"
"152",95.5872241930769,"Pará","201411"
"153",96.3561873836565,"Pará","201412"
"154",92.4917403067508,"Pará","201501"
"155",90.1266624832625,"Pará","201502"
"156",96.17158088997,"Pará","201503"
"157",101.56200618868,"Pará","201504"
"158",96.5724407632517,"Pará","201505"
"159",95.1370216083189,"Pará","201506"
"160",92.2716017160777,"Pará","201507"
"161",89.8630856256016,"Pará","201508"
"162",91.2545657018976,"Pará","201509"
"163",90.3058847735928,"Pará","201510"
"164",87.0872241930769,"Pará","201511"
"165",84.5561873836565,"Pará","201512"
"166",85.1917403067508,"Pará","201601"
"167",85.3266624832625,"Pará","201602"
"168",81.37158088997,"Pará","201603"
"169",90.1620061886799,"Pará","201604"
"170",90.3724407632517,"Pará","201605"
"171",92.5370216083189,"Pará","201606"
"172",87.4716017160777,"Pará","201607"
"173",87.3630856256016,"Pará","201608"
"174",82.3545657018976,"Pará","201609"
"175",80.9058847735928,"Pará","201610"
"176",84.1872241930769,"Pará","201611"
"177",86.1561873836565,"Pará","201612"
"178",81.7917403067508,"Pará","201701"
"179",81.2266624832625,"Pará","201702"
"180",83.47158088997,"Pará","201703"
"181",83.2620061886799,"Pará","201704"
"182",87.7724407632518,"Pará","201705"
"183",82.0370216083189,"Pará","201706"
"184",82.3716017160777,"Pará","201707"
"185",82.2630856256016,"Pará","201708"
"186",81.5545657018976,"Pará","201709"
"187",79.6058847735928,"Pará","201710"
"188",79.9872241930769,"Pará","201711"
"189",83.9561873836565,"Pará","201712"
"190",86.0917403067508,"Pará","201801"
"191",83.5266624832625,"Pará","201802"
"192",76.67158088997,"Pará","201803"
"193",81.0620061886799,"Pará","201804"
"194",67.3724407632517,"Pará","201805"
"195",76.5370216083189,"Pará","201806"
"196",71.4716017160777,"Pará","201807"
"197",69.3630856256016,"Pará","201808"
"198",73.7545657018976,"Pará","201809"
"199",71.2058847735928,"Pará","201810"
"200",74.2872241930769,"Pará","201811"
"201",68.4561873836565,"Pará","201812"
"202",80.3917403067508,"Pará","201901"
"203",75.1266624832625,"Pará","201902"
"204",76.07158088997,"Pará","201903"
"205",74.8620061886799,"Pará","201904"
"206",82.8724407632517,"Pará","201905"
"207",74.1370216083189,"Pará","201906"
"208",81.3716017160777,"Pará","201907"
"209",82.1630856256016,"Pará","201908"
"210",87.7545657018976,"Pará","201909"
"211",82.1058847735928,"Pará","201910"
"212",83.8872241930769,"Pará","201911"
"213",81.8561873836565,"Pará","201912"
"214",80.8917403067508,"Pará","202001"
"215",82.7266624832625,"Pará","202002"
"216",74.37158088997,"Pará","202003"
"217",63.6620061886799,"Pará","202004"
"218",63.7724407632517,"Pará","202005"
"219",70.0370216083189,"Pará","202006"
"220",75.9716017160777,"Pará","202007"
"221",75.2630856256016,"Pará","202008"
"222",72.4545657018976,"Pará","202009"
"223",72.9058847735928,"Pará","202010"
"224",72.3872241930769,"Pará","202011"
"225",76.1561873836565,"Pará","202012"
"226",74.1917403067508,"Pará","202101"
"227",78.0266624832625,"Pará","202102"
"228",79.67158088997,"Pará","202103"
"229",62.9620061886799,"Pará","202104"
"230",58.5724407632517,"Pará","202105"
"231",59.1370216083189,"Pará","202106"
"232",60.7716017160777,"Pará","202107"
