Date,AUSTRALIA,CANADA,DATE,FRANCE,GERMANY,JAPAN,NETHERLANDS,UK,US
1980-01-01,104.254202118351,103.116666666667,722814,114.482379313506,114.46,69.8472487270727,106.226666666667,92.0841007008391,97.4442305609027
1980-04-01,105.51754597955,101.576666666667,722905,114.435713035725,111.466666666667,73.3706114217618,104.61,95.3207943399528,97.6475588110297
1980-07-01,106.350886257385,102.176666666667,722996,115.749035424705,109.293333333333,75.9139659497162,104.78,98.0574838123651,94.377640558986
1980-10-01,107.267560563005,101.166666666667,723088,113.725718952343,104.4,79.8206651722097,101.683333333333,102.424186868224,95.9809338099881
1981-01-01,109.717580979842,102.81,723180,110.869076091033,101.15,83.607363394695,97.9633333333333,105.414211785098,99.1041890619401
1981-04-01,113.467612230102,106.53,723270,108.499095840868,99.9333333333333,80.2640022000183,95.5366666666667,102.980858173818,105.50402906594
1981-07-01,118.55432128601,108.856666666667,723361,109.309089090925,98.43,77.3706447553729,94.6633333333333,95.740797839982,111.390548569619
1981-10-01,117.654313785948,110.05,723453,108.662427813102,101.786666666667,77.5639796998308,98.7966666666667,94.9774581454845,107.977300567486
1982-01-01,116.027633563613,112.046666666667,723545,107.995766701945,100.53,75.5206293385778,98.84,97.1574763123026,111.993866819996
1982-04-01,115.934299452495,112.043333333333,723635,107.602436646361,102.153333333333,72.7872732272769,99.18,96.2874690622422,116.487087822804
1982-07-01,114.364286369053,114.596666666667,723726,100.662494479213,102.33,70.0005833381945,99.79,96.9874748956241,122.613601326634
1982-10-01,114.080950674589,118.526666666667,723818,101.319155673703,103.56,70.7739231160259,100.756666666667,94.3674530621089,123.043590576903
1983-01-01,113.194276618971,117.63,723910,104.135798868343,104.73,76.7939732831106,100.913333333333,85.1373761448012,120.290326075181
1983-04-01,108.307569229744,118.616666666667,724000,100.182498479179,103.943333333333,77.9473162276352,98.5133333333333,88.8207401728347,123.213586327009
1983-07-01,112.627605230044,120.87,724091,99.1191740068836,101.666666666667,77.4306452553771,97.1433333333333,90.4440870340586,126.423506079015
1983-10-01,117.330977758148,120.22,724183,98.6658444512966,100.803333333333,80.6873390611589,96.5966666666667,89.0040750339586,126.663500079165
1984-01-01,119.307660897174,118.896666666667,724275,98.5558453679556,100.083333333333,82.1373511445929,96.29,87.2340602838356,127.456813579661
1984-04-01,115.880965674714,115.42,724366,99.2591728402267,99.61,82.7540229501912,96.2233333333333,85.0207085059042,128.09679758006
1984-07-01,113.230943591197,116.643333333333,724457,98.9725085624289,97.3366666666667,80.3840032000266,94.2333333333333,84.1040342002849,134.14331308384
1984-10-01,117.140976174801,117.646666666667,724549,98.6691777568523,96.01,81.4273452278769,93.2066666666667,81.6173468112234,137.186570335742
1985-01-01,108.734239451995,117.82,724641,98.3325138957178,94.7666666666667,80.260668838907,91.7966666666667,79.0139917832648,143.289751089556
1985-04-01,95.3141276177301,114.406666666667,724731,100.05583286806,94.5966666666667,80.6406720056,91.8833333333333,87.0840590338252,140.216494587635
1985-07-01,96.9008075067292,112.573333333333,724822,102.415813201557,95.7533333333333,82.3173526446054,93.16,90.4874207285061,134.813296334259
1985-10-01,90.9974249785415,107.1,724914,104.619128173932,97.36,91.7140976174801,94.3866666666667,87.8640655338794,127.110155579444
1986-01-01,90.8940907840898,102.82,725006,106.519112340731,99.6933333333333,98.6641555346294,96.56,82.5140209501745,120.913643825571
1986-04-01,90.6774223118526,102.803333333333,725096,103.555803701636,99.8566666666667,106.804223368528,97.2233333333333,83.6806973391445,115.420447822137
1986-07-01,78.3339861165509,101.296666666667,725187,104.019133173891,101.823333333333,114.437620313503,98.4233333333333,79.1539929499413,111.160554319475
1986-10-01,82.887357394645,101.903333333333,725279,105.749118757344,103.49,109.470912257602,100.25,75.1572929774415,110.793896819247
1987-01-01,83.3606946724556,102.77,725371,106.81244322964,105.533333333333,109.450912090934,100.793333333333,77.04064200535,105.997350066248
1987-04-01,86.7473895615797,101.62,725461,106.129115590704,104.38,115.180959841332,99.75,80.2173351444595,102.974092314359
1987-07-01,88.200735006125,103.46,725552,105.912450729577,103.613333333333,111.487595729965,99.27,80.1773348111234,104.234060815147
1987-10-01,83.637363644697,101.646666666667,725644,106.019116507363,104.646666666667,116.137634480288,100.126666666667,82.6473553946283,99.2641850620401
1988-01-01,84.5207043392028,103.913333333333,725736,105.719119007342,104.116666666667,120.424336869474,99.8233333333333,83.5573629780248,96.3842570602402
1988-04-01,91.7740981174842,106.983333333333,725827,104.529128923926,102.566666666667,120.987674897291,98.5,86.9040575338128,95.6409423097756
1988-07-01,99.0608255068792,111.016666666667,725918,102.865809451589,100.426666666667,116.147634563622,96.1033333333333,86.3840532004433,100.317492062698
